Date, Total 
5/24/2023, $-   
5/24/2023," $7,344.00 "
5/24/2023," $4,780.00 "
5/24/2023," $6,190.00 "
5/24/2023," $3,500.00 "
5/24/2023," $12,398.76 "
5/25/2023," $7,680.00 "
5/25/2023, $-   
5/25/2023, $228.00 
5/25/2023," $22,950.00 "
5/25/2023," $3,276.00 "
5/25/2023," $4,824.00 "
5/26/2023," $2,736.00 "
5/26/2023," $6,199.20 "
5/26/2023," $2,790.00 "
5/30/2023," $5,746.00 "
5/30/2023," $5,752.00 "
5/30/2023," $4,572.00 "
5/30/2023," $2,520.00 "
5/30/2023, $-   
5/30/2023, $-   
5/30/2023," $5,088.00 "
5/30/2023," $6,800.00 "
6/1/2023," $4,218.00 "
6/1/2023," $8,041.00 "
6/1/2023," $26,730.60 "
6/1/2023, $-   
6/1/2023," $3,198.00 "
6/1/2023," $11,052.00 "
6/1/2023," $16,200.00 "
6/1/2023," $4,200.00 "
6/1/2023," $4,200.00 "
6/1/2023," $2,100.00 "
6/1/2023, $700.00 
6/1/2023, $-   
6/2/2023," $50,471.64 "
6/5/2023," $5,130.00 "
6/5/2023, $-   
6/5/2023," $2,310.00 "
6/5/2023," $2,220.00 "
6/5/2023, $-   
6/5/2023," $4,523.00 "
6/5/2023," $4,348.00 "
6/6/2023," $5,040.00 "
6/6/2023," $2,081.18 "
6/6/2023, $-   
6/6/2023," $1,219.96 "
6/6/2023, $-   
6/6/2023," $2,268.00 "
6/6/2023," $1,920.00 "
6/6/2023," $8,757.60 "
6/6/2023," $9,943.80 "
6/6/2023," $3,072.00 "
6/6/2023," $9,278.04 "
6/6/2023," $6,826.02 "
6/6/2023," $4,036.02 "
6/6/2023," $4,384.80 "
6/6/2023," $5,679.02 "
6/6/2023," $1,440.54 "
6/6/2023, $-   
6/7/2023," $12,074.40 "
6/7/2023," $18,036.00 "
6/7/2023," $4,104.00 "
6/8/2023," $15,836.01 "
6/8/2023," $7,878.60 "
6/8/2023, $150.01 
6/12/2023," $2,020.00 "
6/12/2023," $3,990.00 "
6/12/2023," $2,130.00 "
6/12/2023," $3,300.00 "
6/12/2023," $4,814.00 "
6/12/2023," $2,544.00 "
6/12/2023," $5,400.00 "
6/12/2023," $23,895.01 "
6/12/2023," $2,800.00 "
6/13/2023, $-   
6/15/2023," $20,400.00 "
6/15/2023," $2,520.00 "
6/16/2023," $4,877.70 "
6/16/2023," $3,024.00 "
6/16/2023," $6,082.02 "
6/16/2023," $6,232.06 "
6/16/2023," $15,960.00 "
6/16/2023, $756.00 
6/16/2023, $756.00 
6/16/2023," $1,512.00 "
6/17/2023," $8,864.72 "
6/19/2023," $5,390.00 "
6/19/2023, $700.00 
6/20/2023," $3,686.40 "
6/20/2023," $2,736.00 "
6/20/2023," $1,674.12 "
6/20/2023," $10,370.00 "
6/20/2023," $2,040.00 "
6/20/2023," $4,860.00 "
6/20/2023," $3,024.00 "
6/20/2023," $1,512.00 "
6/20/2023," $4,860.00 "
6/20/2023," $2,016.00 "
6/20/2023," $4,450.55 "
6/20/2023," $8,578.74 "
6/20/2023," $12,348.00 "
6/20/2023," $6,636.00 "
6/21/2023," $6,264.00 "
6/22/2023," $6,795.09 "
6/22/2023," $10,988.12 "
6/22/2023," $3,910.02 "
6/22/2023," $4,446.00 "
6/22/2023," $10,396.02 "
6/23/2023," $7,134.30 "
6/23/2023," $4,249.80 "
6/23/2023," $4,158.00 "
6/23/2023," $22,121.24 "
6/23/2023," $11,087.19 "
6/23/2023," $4,550.00 "
6/23/2023," $7,650.20 "
6/23/2023," $6,720.20 "
6/23/2023," $9,252.20 "
6/26/2023," $3,024.15 "
6/26/2023," $11,663.98 "
6/26/2023," $29,311.56 "
6/26/2023," $2,761.20 "
6/26/2023, $660.72 
6/26/2023," $5,772.25 "
6/26/2023," $4,370.25 "
6/26/2023," $14,301.84 "
6/26/2023," $7,821.79 "
6/27/2023," $8,628.12 "
6/27/2023," $2,410.09 "
6/27/2023," $8,954.00 "
6/27/2023, $756.00 
6/27/2023," $10,020.03 "
6/27/2023," $10,476.03 "
6/27/2023," $3,168.15 "
6/27/2023," $6,216.00 "
6/27/2023," $12,204.00 "
6/27/2023," $2,408.30 "
6/27/2023," $5,508.14 "
6/28/2023," $6,992.00 "
6/28/2023," $6,639.99 "
6/28/2023," $1,800.00 "
6/28/2023," $7,406.20 "
6/28/2023," $7,668.27 "
6/28/2023," $7,009.52 "
6/28/2023," $1,285.31 "
6/28/2023," $2,349.00 "
6/29/2023," $3,500.00 "
6/29/2023," $3,024.23 "
6/29/2023," $3,689.00 "
6/29/2023," $3,689.00 "
6/29/2023, $-   
6/30/2023," $3,239.39 "
6/30/2023," $3,239.39 "
6/30/2023," $3,239.39 "
7/1/2023," $14,394.13 "
7/3/2023," $4,550.00 "
7/3/2023, $-   
7/3/2023, $700.00 
7/3/2023," $2,731.00 "
7/3/2023," $3,984.00 "
7/5/2023," $4,860.30 "
7/6/2023, $912.00 
7/6/2023," $3,710.00 "
7/6/2023," $1,400.00 "
7/6/2023," $7,424.15 "
7/6/2023," $8,022.15 "
7/7/2023," $9,932.01 "
7/7/2023, $-   
7/7/2023," $23,261.10 "
7/10/2023," $1,920.00 "
7/10/2023," $13,256.82 "
7/10/2023," $2,400.00 "
7/10/2023," $10,020.83 "
7/10/2023," $23,261.10 "
7/10/2023," $4,935.87 "
7/10/2023," $4,353.57 "
7/10/2023," $7,650.00 "
7/10/2023," $18,344.07 "
7/10/2023, $-   
